Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Gabon,GAB,59.786,58.959,60.744,61.237,61.71,62.154,62.569,62.97,63.367,63.759,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Gambia, The",GMB,50.954,54.439,57.407,57.656,57.879,58.085,58.284,58.484,58.69,58.906,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Georgia,GEO,66.264,68.049,69.882,70.079,70.272,70.46,70.644,70.821,70.99,71.154,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Germany,DEU,72.012,75,76.9,77.2,77.3,77.5,78.4,78.6,78.6,78.6,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ghana,GHA,55.677,56.231,58.81,59.187,59.494,59.729,59.908,60.058,60.205,60.357,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Greece,GRC,74.5,75.4,77,77.5,77.7,77.9,78,78,78.7,78.7,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Greenland,GRL,61.4,64.3,67.89,67.75,68.18,68.54,68.56,69.08,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Grenada,GRD,66.276,67.976,69.515,69.753,69.993,70.228,70.45,70.653,70.836,70.999,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guam,GUM,69.788,72.779,74.624,74.865,75.122,75.396,75.683,75.978,76.273,76.567,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guatemala,GTM,59.395,64.271,66.682,66.894,67.109,67.334,67.567,67.805,68.042,68.279,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guinea,GIN,48.993,51.219,53.459,54.181,54.942,55.707,56.442,57.123,57.736,58.271,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guinea-Bissau,GNB,46.929,50.403,51.614,51.764,51.962,52.209,52.496,52.804,53.115,53.422,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guyana,GUY,60.01,62.099,63.31,63.456,63.597,63.731,63.855,63.968,64.071,64.163,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Haiti,HTI,53.102,55.938,58.033,58.417,58.811,59.205,59.593,59.969,60.327,60.665,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Honduras,HND,64.471,68.142,69.468,69.639,69.806,69.973,70.142,70.316,70.497,70.684,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Hong Kong SAR, China",HKG,74.6,78,79.4,79.4,79.8,80.1,80.3,80.7,81.1,81.2,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Hungary,HUN,65.14,67.1,69.2,69.8,70.1,70.5,71.2,71.6,72.2,72.8,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Iceland,ISL,75.49,77.8,79.6,80,79.8,79.8,80.7,81.6,80.5,80.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,India,IND,57.613,61.816,64.358,64.697,65.028,65.352,65.671,65.985,66.297,66.606,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Indonesia,IDN,61.856,64.582,65.557,65.736,65.923,66.115,66.31,66.502,66.689,66.868,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Iran, Islamic Rep.",IRN,61.618,69.205,71.042,71.475,71.981,72.53,73.076,73.573,73.985,74.302,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Iraq,IRQ,63.014,66.951,65.44,65.432,65.577,65.855,66.218,66.599,66.943,67.227,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ireland,IRL,71.974,74,77.3,77.9,77.8,78.5,78.6,78.7,79,79.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Israel,ISR,74.9,77.1,78.7,79,79.6,79.7,79.9,79.9,80.3,80.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Italy,ITA,73.8,76.9,78.8,78.9,79.1,79.5,79.7,79.8,80.3,80.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Jamaica,JAM,69.875,69.6,71.461,71.8,72.126,72.427,72.696,72.933,73.138,73.314,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Japan,JPN,75.91,77.72,79.19,79.29,79.59,79.55,79.44,79.94,80.21,80.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Jordan,JOR,68.555,70.37,71.448,71.59,71.73,71.869,72.006,72.143,72.28,72.418,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kazakhstan,KAZ,63.8,60.2,60.7,61.9,63.6,63.51,64.16,64.84,65.75,67.12,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kenya,KEN,56.924,50.092,54.911,55.872,56.758,57.543,58.223,58.824,59.365,59.851,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kiribati,KIR,57.624,61.078,62.011,62.083,62.161,62.254,62.366,62.499,62.65,62.819,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Korea, Dem. People’s Rep.",PRK,65.997,61.185,64.984,65.11,65.286,65.521,65.804,66.102,66.39,66.662,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Korea, Rep.",KOR,67.29,72.25,76.13,76.54,76.99,77.2,77.65,77.95,78.51,78.99,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kosovo,KSV,65.7,66,67.1,67.3,67.6,67.9,68.1,68.4,68.7,69,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kuwait,KWT,71.344,72.384,72.85,72.929,73.014,73.102,73.194,73.286,73.377,73.466,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kyrgyz Republic,KGZ,64.2,64.9,63.7,64.5,65.2,65.3,65.7,66.1,66.3,66.5,..,..
